S.No,NABL/NON NABL,Discipline / Group,Materials or Products tested,Parameter,Method,Sample Quantity g/mL,Lead time,Charges per sample,No of Sample,18% GST SAC 998343,Total amount,PROTOCOL NO.,NABL Range,Limit of quantification,,Protocol Link
1,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",6 Benzyl Amino Purine (6-BAP) % w/w,ABRL STP 006 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,1 mg/kg to 990000 mg/kg,0.86 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
2,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Accelerated stability study,CIPAC MT 46,500 ml,22,40000,1,7200,47200,ABRL PRO 083,Not applicable,Not applicable,,
3,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Acid Insoluble Ash % w/w,FCO 1985 SCD IV Part D Cl. No. 14,50,15,800,1,144,944,ABRL PRO 053,0.1 % w/w to 50 % w/w,,,https://forms.gle/pVZ3UfnzgqWD7U4x7
4,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Acid soluble Ash % w/w,Calculative based on FCO 1985 SCD IV Part D Cl. No. 14,50,15,800,1,144,944,ABRL PRO 053,0.1 % w/w to 50 % w/w,,,https://forms.gle/pVZ3UfnzgqWD7U4x7
5,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Alginic Acid % w/w,ABRL STP 050 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.0001 % to 99 %,44.70 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
6,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Alpha-tocopherol (Vitamin E) % w/w,ABRL STP 010 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.0001 % to 99 %,,,https://forms.gle/ZVvz31MkZnjJX1X38
7,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Aluminium as Al mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
8,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Ammoniacal nitrogen % w/w,FCO 1985 SCD II Part B Cl.No.03,50,15,600,1,108,708,ABRL PRO 014,0.1 % to 40 %,,,https://forms.gle/eCp5pXhcQKkRUFpd8
9,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Appereance ,ABRL STP 091,50,15,100,1,18,118,ABRL PRO 092,NA,,,https://forms.gle/ZrVhayg6o6mkzWNy6
10,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Arsenic as As/As2O3 mg/kg,FCO 1985 SCD IV Part D Cl. No. 12,50,15,1000,1,180,1180,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
11,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Arsenic as As / AS2O3 mg/kg,IS 16556,50,15,1000,1,180,1180,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
